Name,Party,State,District,Title,Website,Facebook,Twitter
Jefferson Van Drew,,,,,https://vandrew.house.gov/,,CongressmanJVD
Juan Vargas,,,,,https://vargas.house.gov,RepJuanVargas,RepJuanVargas
Marc Veasey,,,,,https://veasey.house.gov,CongressmanMarcVeasey,RepVeasey
Filemon Vela,,,,,https://vela.house.gov,USCongressmanFilemonVela,RepFilemonVela
Nydia Velázquez,,,,,https://velazquez.house.gov,8037068318,NydiaVelazquez
Peter Visclosky,,,,,https://visclosky.house.gov,repvisclosky,RepVisclosky
Ann Wagner,,,,,https://wagner.house.gov,RepAnnWagner,RepAnnWagner
Tim Walberg,,,,,https://walberg.house.gov,RepWalberg,RepWalberg
Greg Walden,,,,,https://walden.house.gov,repgregwalden,RepGregWalden
Mark Walker,,,,,https://walker.house.gov,RepMarkWalker,RepMarkWalker
Jackie Walorski,,,,,https://walorski.house.gov,RepJackieWalorski,RepWalorski
Michael Waltz,,,,,https://waltz.house.gov/,,RepMichaelWaltz
Debbie Wasserman Schultz,,,,,https://wassermanschultz.house.gov,RepDWS,RepDWStweets
Maxine Waters,,,,,https://waters.house.gov,MaxineWaters,RepMaxineWaters
Steven Watkins,,,,,https://watkins.house.gov/,,Rep_Watkins
Bonnie Watson Coleman,,,,,https://watsoncoleman.house.gov,RepBonnie,RepBonnie
Randy Weber,,,,,https://weber.house.gov,TXRandy14,TXRandy14
Daniel Webster,,,,,https://webster.house.gov,RepWebster,RepWebster
Peter Welch,,,,,https://welch.house.gov,PeterWelch,PeterWelch
Brad Wenstrup,,,,,https://wenstrup.house.gov,RepBradWenstrup,RepBradWenstrup
Bruce Westerman,,,,,https://westerman.house.gov,RepWesterman,RepWesterman
Jennifer Wexton,,,,,https://wexton.house.gov/,,RepWexton
Susan Wild,,,,,https://wild.house.gov,,RepSusanWild
Roger Williams,,,,,https://williams.house.gov,RepRogerWilliams,RepRWilliams
Joe Wilson,,,,,https://joewilson.house.gov,JoeWilson,RepJoeWilson
Frederica Wilson,,,,,https://wilson.house.gov,RepWilson,RepWilson
Robert Wittman,,,,,https://wittman.house.gov,RepRobWittman,RobWittman
Steve Womack,,,,,https://womack.house.gov,RepSteveWomack,Rep_SteveWomack
Rob Woodall,,,,,https://woodall.house.gov,RepRobWoodall,RepRobWoodall
Ron Wright,,,,,https://wright.house.gov/,,RepRonWright
John Yarmuth,,,,,https://yarmuth.house.gov,214258646163,RepJohnYarmuth
Ted Yoho,,,,,https://yoho.house.gov,CongressmanTedYoho,RepTedYoho
Don Young,,,,,https://donyoung.house.gov,RepDonYoung,RepDonYoung
Lee Zeldin,,,,,https://zeldin.house.gov,RepLeeZeldin,RepLeeZeldin
