Name,Party,State,District,Title,Website,Facebook,Twitter
Daniel Lipinski,D,IL,IL_03,Representative,https://lipinski.house.gov,repdanlipinski,RepLipinski
Dave Loebsack,D,IA,IA_02,Representative,https://loebsack.house.gov,DaveLoebsack,DaveLoebsack
Zoe Lofgren,D,CA,CA_19,Representative,https://lofgren.house.gov,zoelofgren,RepZoeLofgren
Billy Long,R,MO,MO_07,Representative,https://long.house.gov,Rep.Billy.Long,USRepLong
Barry Loudermilk,R,GA,GA_11,Representative,https://loudermilk.house.gov,reploudermilk,RepLoudermilk
Alan Lowenthal,D,CA,CA_47,Representative,https://lowenthal.house.gov,RepLowenthal,RepLowenthal
Nita Lowey,D,NY,NY_17,Representative,https://lowey.house.gov,RepLowey,NitaLowey
Frank Lucas,R,OK,OK_03,Representative,https://lucas.house.gov,RepFrankLucas,RepFrankLucas
Blaine Luetkemeyer,R,MO,MO_03,Representative,https://luetkemeyer.house.gov,BlaineLuetkemeyer,RepBlaine
Ben Luján,D,NM,NM_03,Representative,https://lujan.house.gov,RepBenRayLujan,RepBenRayLujan
Elaine Luria,D,VA,VA_02,Representative,https://luria.house.gov/,,RepElaineLuria
Stephen Lynch,D,MA,MA_08,Representative,https://lynch.house.gov,repstephenlynch,RepStephenLynch
Tom Malinowski,D,NJ,NJ_07,Representative,https://malinowski.house.gov/,,RepMalinowski
Sean Maloney,D,NY,NY_18,Representative,https://seanmaloney.house.gov,RepSeanMaloney,RepSeanMaloney
Carolyn Maloney,D,NY,NY_12,Representative,https://maloney.house.gov,RepCarolynMaloney,RepMaloney
Kenny Marchant,R,TX,TX_24,Representative,https://marchant.house.gov,RepKennyMarchant,RepKenMarchant
Tom Marino,R,PA,PA_12,Representative,https://marino.house.gov,CongressmanMarino,RepTomMarino
Roger Marshall,R,KS,KS_01,Representative,https://marshall.house.gov,rogermarshallmd,RepMarshall
Thomas Massie,R,KY,KY_04,Representative,https://massie.house.gov,RepThomasMassie,RepThomasMassie
Brian Mast,R,FL,FL_18,Representative,https://mast.house.gov,repbrianmast,repbrianmast
Doris Matsui,D,CA,CA_06,Representative,http://matsui.house.gov,doris.matsui,DorisMatsui
Ben McAdams,D,UT,UT_04,Representative,https://mcadams.house.gov/,,RepBenMcAdams
Lucy McBath,D,GA,GA_06,Representative,https://mcbath.house.gov/,,replucymcbath
Kevin McCarthy,R,CA,CA_23,Representative,https://kevinmccarthy.house.gov,CongressmanKevinMcCarthy,GOPLeader
Michael McCaul,R,TX,TX_10,Representative,https://mccaul.house.gov,michaeltmccaul,RepMcCaul
Tom McClintock,R,CA,CA_04,Representative,https://mcclintock.house.gov,81125319109,RepMcClintock
Betty McCollum,D,MN,MN_04,Representative,https://mccollum.house.gov,repbettymccollum,BettyMcCollum04
A. McEachin,D,VA,VA_04,Representative,https://mceachin.house.gov,RepMcEachin,RepMcEachin
Jim McGovern,D,MA,MA_02,Representative,https://mcgovern.house.gov,RepJimMcGovern,RepMcGovern
Patrick McHenry,R,NC,NC_10,Representative,https://mchenry.house.gov,CongressmanMcHenry,PatrickMcHenry
David McKinley,R,WV,WV_01,Representative,https://mckinley.house.gov,RepMcKinley,RepMcKinley
Cathy McMorris Rodgers,R,WA,WA_05,Representative,https://mcmorris.house.gov,mcmorrisrodgers,CathyMcMorris
Jerry McNerney,D,CA,CA_09,Representative,https://mcnerney.house.gov,jerrymcnerney,RepMcNerney
Mark Meadows,R,NC,NC_11,Representative,https://meadows.house.gov,Repmarkmeadows,RepMarkMeadows
Gregory Meeks,D,NY,NY_05,Representative,https://meeks.house.gov,gregorymeeksny05,RepGregoryMeeks
Grace Meng,D,NY,NY_06,Representative,https://meng.house.gov,repgracemeng,RepGraceMeng
Daniel Meuser,R,PA,PA_09,Representative,https://meuser.house.gov/,,RepMeuser
Carol Miller,R,WV,WV_03,Representative,https://miller.house.gov/,,RepCarolMiller
